InvoiceLine.Business_Unit,InvoiceLine.Department_Id,TransactionJournal.ActivityDate,TransactionJournal.TransactionType,GeneralLedgerAccount.GL_Accounting_Number__c,TransactionJournal.UsageType,TransactionJournal.CreditDebit,TransactionJournal.Name
10902,20500,2026-08-05 14:30:00+00:00,InvoiceLine,20011111,Storage,1500.0,S1 - Direct InvoiceLine
10902,20500,2026-08-06 09:15:00+00:00,Payment,20022222,,-750.0,S2 - Payment header fallback
10902,20500,2026-08-07 11:00:00+00:00,CreditMemo,20033333,,-200.0,S3 - CreditMemo header fallback
10901,,2026-08-08 10:00:00+00:00,InvoiceLine,,,50.0,"S4 - Unresolvable, bu defaults to 10901"
10903,16637,2026-08-09 13:45:00+00:00,InvoiceLine,20055555,Subscription,300.0,S5 - Slingshot product name override
10903,16635,2026-08-10 08:20:00+00:00,InvoiceLine,20066666,Subscription,400.0,S6 - DataBolt product name override
10903,16605,2026-08-11 16:00:00+00:00,InvoiceLine,10040049,Subscription,999.0,S7 - 10040049 override beats Slingshot override
20450,40500,2026-08-12 10:00:00+00:00,InvoiceLine,20099999,Compute,250.0,S9 - Second business unit
10902,20500,2026-08-13 15:30:00+00:00,InvoiceLineTax,20011111,,-45.0,S10 - InvoiceLineTax indirect resolution
10904,50500,2026-08-14 09:00:00+00:00,Payment,20011000,,600.0,S11 - Line-level payment wins over header-level
